,0,1,2,3,4,5
585,Hsa.608,H17897,3' UTR,1,50396,"""ADP,ATP CARRIER PROTEIN, FIBROBLAST ISOFORM (HUMAN);.                                                                                                                                                                                          """
586,Hsa.1640,M80461,gene,1,N/A,"""Human B29 mRNA, complete cds.                                                                                                                                                                                                                        """
587,Hsa.8182,T56011,3' UTR,2a,73248,HEMATOPOIETIC PROTEIN-TYROSINE PHOSPHATASE (Homo sapiens)
588,Hsa.3150,D31883,gene,1,N/A,"""Human mRNA (KIAA0059) for ORF (related to actin bundling protein dematn), complete cds.                                                                                                                                                              """
589,Hsa.8010,R15447,3' UTR,2a,53083,CALNEXIN PRECURSOR (Homo sapiens)
590,Hsa.36019,H27921,3' UTR,2a,162430,ATRIAL NATRIURETIC PEPTIDE RECEPTOR A PRECURSOR (Homo sapiens)
591,Hsa.2062,Y00414,gene,1,N/A,Human mRNA for tyrosine hydroxylase type 3.
592,Hsa.31943,R72374,3' UTR,2a,155897,"""CALPAIN I, LARGE (Oryctolagus cuniculus)                                                                                                                                                                                                   """
593,Hsa.17822,T89422,3' UTR,2a,116291,CELL DIVISION CONTROL PROTEIN 3 (Saccharomyces cerevisiae)
594,Hsa.6422,T71643,3' UTR,2a,110357,CYCLIC-AMP-DEPENDENT TRANSCRIPTION FACTOR ATF-4 (Homo sapiens)
595,Hsa.950,R49964,3' UTR,1,152738,GLUCOSE-6-PHOSPHATE ISOMERASE (HUMAN);.
596,Hsa.20028,T99478,3' UTR,2a,122540,GLUCOSE-6-PHOSPHATASE (Homo sapiens)
597,Hsa.32389,R70939,3' UTR,2a,142680,TRANSCRIPTION FACTOR TAU 131 KD SUBUNIT (Saccharomyces cerevisiae)
598,Hsa.1773,T53412,3' UTR,1,68806,"""KERATIN, TYPE I CYTOSKELETAL 18 (HUMAN).                                                                                                                                                                                                      """
599,Hsa.847,R73660,3' UTR,1,143143,GAMMA-INTERFERON-INDUCIBLE PROTEIN IP-30 PRECURSOR (HUMAN);.
600,Hsa.1132,D16431,gene,1,N/A,"""Human mRNA for hepatoma-derived growth factor, complete cds.                                                                                                                                                                                         """
601,Hsa.1106,H28711,3' UTR,1,49666,"""Human tetracycline transporter-like protein mRNA, complete cds.                                                                                                                                                                               """
602,Hsa.2478,R54818,3' UTR,1,40360,"""Human eukaryotic initiation factor 2B-epsilon mRNA, partial cds.                                                                                                                                                                              """
603,Hsa.1630,M97370,gene,1,N/A,"""Human adenosine receptor (A2) gene, complete cds.                                                                                                                                                                                                    """
604,Hsa.1445,J03075,gene,1,N/A,"""PROTEIN KINASE C SUBSTRATE, 80 KD PROTEIN, HEAVY CHAIN (HUMAN);contains TAR1 repetitive element ;.                                                                                                                                                   """
605,Hsa.4907,R83354,3' UTR,2a,186615,GDP DISSOCIATION INHIBITOR FOR RHO PROTEIN (Bos taurus)
606,Hsa.6376,H45526,3' UTR,2a,158086,RHO-RELATED GTP-BINDING PROTEIN RHOG (Homo sapiens)
607,Hsa.2416,R44863,3' UTR,1,33477,H.sapiens mRNA for phenylalkylamine binding protein.
608,Hsa.24944,R21427,3' UTR,2a,130122,PROTEIN-TYROSINE PHOSPHATASE PTP-H1 (Homo sapiens)
609,Hsa.41240,Z19002,gene,1,N/A,H.sapiens of PLZF gene encoding kruppel-like zinc finger protein.
610,Hsa.897,L06895,gene,1,N/A,"""Homo sapiens antagonizer of myc transcriptional activity (Mad) mRNA, complete cds.                                                                                                                                                                    """
611,Hsa.1739,R52000,3' UTR,1,39861,PLACENTAL RIBONUCLEASE INHIBITOR (HUMAN);.
612,Hsa.22167,R10620,3' UTR,2a,128901,TYROSINE-PROTEIN KINASE CSK (Homo sapiens)
613,Hsa.9251,T73092,3' UTR,2a,85983,EUKARYOTIC INITIATION FACTOR 4A-I (Homo sapiens)
614,Hsa.39288,R94588,3' UTR,2a,276282,CELL DIVISION PROTEIN KINASE 2 (HUMAN);.
615,Hsa.3022,X68148,gene,1,N/A,H.sapiens SHC mRNA.
616,Hsa.42949,H67764,3' UTR,2a,229939,ESTROGEN SULFOTRANSFERASE (Bos taurus)
617,Hsa.2304,Y00970,gene,1,N/A,Human mRNA for acrosin (EC 3.4.21.10).
618,Hsa.6458,H89087,3' UTR,2a,253224,SPLICING FACTOR SC35 (Homo sapiens)
619,Hsa.2739,X04828,gene,1,N/A,Human mRNA for G(i) protein alpha-subunit (adenylate cyclase inhibiting GTP-binding protein).
620,Hsa.305,L19437,gene,1,N/A,TRANSALDOLASE (HUMAN);contains Alu repetitive element;contains PTR5 repetitive element ;.
621,Hsa.732,M28129,gene,1,N/A,"""Homo sapiens eosinophil-derived neurotoxin (EDN) mRNA, complete cds.                                                                                                                                                                                  """
622,Hsa.34562,H11324,3' UTR,2a,47625,CELLULAR RETINALDEHYDE-BINDING PROTEIN (Bos taurus)
623,Hsa.5402,T51250,3' UTR,1,70115,CYTOCHROME C OXIDASE POLYPEPTIDE VIII-LIVER/HEART (HUMAN).
624,Hsa.3306,X12671,gene,1,N/A,Human gene for heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1.
625,Hsa.7324,H65223,3' UTR,2a,238805,AFLATOXIN B1 ALDEHYDE REDUCTASE (Rattus norvegicus)
626,Hsa.28914,Z48541,gene,1,N/A,H.sapiens mRNA for protein tyrosine phosphatase.
627,Hsa.36010,H27771,3' UTR,2a,162849,G1/S-SPECIFIC CYCLIN D1 (Homo sapiens)
628,Hsa.3194,T60318,3' UTR,1,78472,A42811 INITIATION FACTOR EIF-4A HOMOLOG - ;.
629,Hsa.9691,T49703,3' UTR,2a,67944,60S ACIDIC RIBOSOMAL PROTEIN P1 (Polyorchis penicillatus)
630,Hsa.33843,H04461,3' UTR,2a,150162,ENDOGLIN PRECURSOR (Homo sapiens)
631,Hsa.3135,U19796,gene,1,N/A,"""Human melanoma antigen p15 mRNA, complete cds.                                                                                                                                                                                                       """
632,Hsa.45499,H87344,3' UTR,2a,252396,SERUM ALBUMIN PRECURSOR (Homo sapiens)
633,Hsa.1920,X06614,gene,1,N/A,Human mRNA for receptor of retinoic acid.
634,Hsa.465,U07695,gene,1,N/A,"""Human tyrosine kinase (HTK) mRNA, complete cds.                                                                                                                                                                                                       """
635,Hsa.1515,M85289,gene,1,N/A,"""Human heparan sulfate proteoglycan (HSPG2) mRNA, complete cds.                                                                                                                                                                                       """
636,Hsa.36666,U31216,gene,1,N/A,"""Human metabotropic glutamate receptor 1 beta (mGluR1beta) mRNA, complete cds.                                                                                                                                                                       """
637,Hsa.2298,U03865,gene,1,N/A,"""Human adrenergic alpha-1b receptor protein mRNA, complete cds.                                                                                                                                                                                       """
638,Hsa.22762,H17434,3' UTR,1,50609,NUCLEOLIN (HUMAN);.
639,Hsa.318,M60706,gene,1,N/A,"""Homo sapiens type I DNA topoisomerase gene, exon 21.                                                                                                                                                                                                  """
640,Hsa.8080,R56892,3' UTR,2a,41107,14-3-3 PROTEIN GAMMA (Bos taurus)
641,Hsa.3098,X16316,gene,1,N/A,VAV ONCOGENE (HUMAN);.
642,Hsa.5142,H82719,3' UTR,2a,249109,BETA-ADAPTIN (Homo sapiens)
643,Hsa.2301,U09770,gene,1,N/A,"""Human cysteine-rich heart protein (hCRHP) mRNA, complete cds.                                                                                                                                                                                        """
644,Hsa.27592,H42477,3' UTR,2a,182692,RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 1 (Homo sapiens)
645,Hsa.26883,R61368,3' UTR,2a,37974,"""ALKALINE PHOSPHATASE, PLACENTAL TYPE 1 PRECURSOR (Homo sapiens)                                                                                                                                                                             """
646,Hsa.2007,X02744,gene,1,N/A,Human mRNA for c-sis gene (clone pSM-1).
647,Hsa.168,U02493,gene,1,N/A,"""Human 54 kDa protein mRNA, complete cds.                                                                                                                                                                                                              """
648,Hsa.11765,R54854,3' UTR,2a,154475,VON WILLEBRAND FACTOR PRECURSOR (Homo sapiens)
649,Hsa.977,L11369,gene,1,N/A,"""Human protocadherin 42 mRNA, 3' end of cds for alternative splicing PC42-8.                                                                                                                                                                           """
650,Hsa.3228,U29171,gene,1,N/A,"""Human casein kinase I delta mRNA, complete cds.                                                                                                                                                                                                      """
651,Hsa.7395,R10066,3' UTR,2a,128808,PROHIBITIN (Homo sapiens)
652,Hsa.1485,T62864,3' UTR,1,79590,"""GUANINE NUCLEOTIDE-BINDING PROTEIN G(S), ALPHA SUBUNIT (HUMAN);.                                                                                                                                                                              """
653,Hsa.400,D30755,gene,1,N/A,"""Human mRNA (HA1652) for ORF, partial cds.                                                                                                                                                                                                             """
654,Hsa.19653,R53612,3' UTR,2a,154206,DEOXYCYTIDINE KINASE (Homo sapiens)
655,Hsa.2858,Z25821,gene,1,N/A,"""H.sapiens gene for mitochondrial dodecenoyl-CoA delta-isomerase, exons 1 and 2.                                                                                                                                                                      """
656,Hsa.845,M27749,gene,1,N/A,IMMUNOGLOBULIN-RELATED 14.1 PROTEIN PRECURSOR (HUMAN);.
657,Hsa.21160,R99591,3' UTR,2a,201340,ANTIGEN WC1.1 (Bos taurus)
658,Hsa.1668,M91670,gene,1,N/A,"""Human ubiquitin carrier protein (E2-EPF) mRNA, complete cds.                                                                                                                                                                                         """
659,Hsa.347,D16111,gene,1,N/A,"""Human mRNA for human homologue of rat phosphatidylethanolamine binding protein, complete cds.                                                                                                                                                         """
660,Hsa.285,T62972,3' UTR,1,80738,P02403 60S RIBOSOMAL PROTEIN ;.
661,Hsa.2646,X68277,gene,1,N/A,H.sapiens CL 100 mRNA for protein tyrosine phosphatase.
662,Hsa.3076,Z17227,gene,1,N/A,H.sapiens mRNA for transmenbrane receptor protein.
663,Hsa.36938,H43663,3' UTR,2a,188406,TEASHIRT PROTEIN (Drosophila melanogaster)
664,Hsa.16742,R38513,3' UTR,2a,26871,FIBROBLAST GROWTH FACTOR RECEPTOR 2 PRECURSOR (Homo sapiens)
665,Hsa.28193,H29293,3' UTR,2a,49960,PROBABLE NUCLEAR ANTIGEN (Pseudorabies virus)
666,Hsa.43684,H72110,3' UTR,2a,213627,T-CELL RECEPTOR BETA CHAIN PRECURSOR (Oryctolagus cuniculus)
667,Hsa.1175,U13896,gene,1,N/A,"""Human homolog of Drosophila discs large protein, isoform 2 (hdlg-2) mRNA, complete cds.                                                                                                                                                              """
668,Hsa.3517,U39360,gene,1,N/A,"""Human DNA-binding protein (CROC-1A) mRNA, complete cds.                                                                                                                                                                                              """
669,Hsa.2156,T67905,3' UTR,1,81962,"""ATP SYNTHASE GAMMA CHAIN, MITOCHONDRIAL PRECURSOR (HUMAN);.                                                                                                                                                                                   """
670,Hsa.301,U18934,gene,1,N/A,"""Human receptor tyrosine kinase (DTK) mRNA, complete cds.                                                                                                                                                                                              """
671,Hsa.3159,D25216,gene,1,N/A,"""Human mRNA (KIAA0014) for ORF, complete cds.                                                                                                                                                                                                         """
672,Hsa.1258,H71150,3' UTR,1,214726,APOLIPOPROTEIN C-III PRECURSOR (HUMAN);.
673,Hsa.3820,H89983,3' UTR,2a,250531,METALLOPAN-STIMULIN 1 (Homo sapiens)
674,Hsa.7265,H17923,3' UTR,2a,50636,CALCIUM/CALMODULIN-DEPENDENT PROTEIN KINASE TYPE II BETA CHAIN (Mus musculus)
675,Hsa.1486,M57298,gene,1,N/A,"""Human GTP-binding protein G25K mRNA, complete cds.                                                                                                                                                                                                   """
676,Hsa.37058,H46136,3' UTR,2a,177791,HOMEOBOX PROTEIN HOX-A10 (Homo sapiens)
677,Hsa.2830,X51345,gene,1,N/A,Human jun-B mRNA for JUN-B protein.
678,Hsa.2966,X70944,gene,1,N/A,H.sapiens mRNA for PTB-associated splicing factor.
679,Hsa.10068,T52003,3' UTR,2a,72611,CCAAT/ENHANCER BINDING PROTEIN ALPHA (Rattus norvegicus)
680,Hsa.16164,T81919,3' UTR,2a,109677,CREB-BINDING PROTEIN (Mus musculus)
681,Hsa.10047,T51849,3' UTR,2a,75009,TYROSINE-PROTEIN KINASE RECEPTOR ELK PRECURSOR (Rattus norvegicus)
682,Hsa.6051,H08749,3' UTR,2a,45641,CHITINASE 2 PRECURSOR (Rhizopus oligosporus)
683,Hsa.1036,R80612,3' UTR,1,147093,"""PHOSPHOLIPASE A2, MEMBRANE ASSOCIATED PRECURSOR (HUMAN);.                                                                                                                                                                                    """
684,Hsa.1715,L35249,gene,1,N/A,"""VACUOLAR ATP SYNTHASE SUBUNIT B, BRAIN ISOFORM (HUMAN);.                                                                                                                                                                                             """
685,Hsa.1920,X06614,gene,1,N/A,Human mRNA for receptor of retinoic acid.
686,Hsa.12892,T69271,3' UTR,2a,82871,SEX HORMONE-BINDING GLOBULIN PRECURSOR (Homo sapiens)
687,Hsa.1414,M28650,gene,1,N/A,"""Human excision repair protein (ERCC-1) mRNA, complete cds. cDNA clone pcDE.                                                                                                                                                                          """
688,Hsa.2568,X73358,gene,1,N/A,H.sapiens hAES-1 mRNA.
689,Hsa.2840,X53683,gene,1,N/A,Human LAG-1 mRNA.
690,Hsa.36354,H30734,3' UTR,2a,190187,"""RYANODINE RECEPTOR, SKELETAL MUSCLE (Homo sapiens)                                                                                                                                                                                         """
691,Hsa.14896,T71207,3' UTR,2a,110162,RAS-RELATED C3 BOTULINUM TOXIN SUBSTRATE 2 (Homo sapiens)
692,Hsa.978,L11370,gene,1,N/A,"""Human protocadherin 42 mRNA, complete cds for abbreviated PC42.                                                                                                                                                                                       """
693,Hsa.852,M88279,gene,1,N/A,P59 PROTEIN (HUMAN);.
694,Hsa.919,H66976,3' UTR,1,212229,"""HLA CLASS II HISTOCOMPATIBILITY ANTIGEN, DP(1) ALPHA CHAIN (HUMAN);.                                                                                                                                                                          """
695,Hsa.41163,U06088,gene,1,N/A,"""Human N-acetylgalactosamine 6-sulphatase (GALNS) gene, exon 14.                                                                                                                                                                                     """
696,Hsa.35201,H19272,3' UTR,2a,171859,CIRCUMSPOROZOITE PROTEIN PRECURSOR (Plasmodium berghei yoelii)
697,Hsa.9972,T51261,3' UTR,2a,70133,GLIA DERIVED NEXIN PRECURSOR (Mus musculus)
698,Hsa.38375,R92729,3' UTR,2a,195957,X BOX BINDING PROTEIN-1 (Homo sapiens)
699,Hsa.359,U09413,gene,1,N/A,"""Human zinc finger protein ZNF135 mRNA, complete cds.                                                                                                                                                                                                  """
700,Hsa.3260,U18920,gene,1,N/A,"""Human chromosome 17q12-21 mRNA, clone pOV-3, partial cds.                                                                                                                                                                                            """
701,Hsa.109,D13138,gene,1,N/A,Human mRNA for dipeptidase.
702,Hsa.1522,M34192,gene,1,N/A,ISOVALERYL-COA DEHYDROGENASE PRECURSOR (HUMAN);contains MER22 repetitive element ;.
703,Hsa.465,U07695,gene,1,N/A,"""Human tyrosine kinase (HTK) mRNA, complete cds.                                                                                                                                                                                                       """
704,Hsa.7614,T83673,3' UTR,2a,113295,SYNAPTIC VESICLE PROTEIN 2 (Rattus norvegicus)
705,Hsa.370,U01877,gene,1,N/A,"""Human p300 protein mRNA, complete cds.                                                                                                                                                                                                                """
706,Hsa.12024,T89164,3' UTR,2a,109993,HYPOTHETICAL 18.8 KD PROTEIN ZK637.14 IN CHROMOSOME III (Caenorhabditis elegans)
707,Hsa.896,H17969,3' UTR,1,50308,H.sapiens mRNA for 90K product.
708,Hsa.12754,T67921,3' UTR,2a,81975,ASIALOGLYCOPROTEIN RECEPTOR R2/3 (Rattus norvegicus)
709,Hsa.43155,H69872,3' UTR,2a,212391,"""PROTEIN KINASE C, DELTA TYPE (Homo sapiens)                                                                                                                                                                                                """
710,Hsa.2179,D49396,gene,1,N/A,"""Human mRNA for Apo1_Human (MER5(Aop1-Mouse)-like protein), complete cds.                                                                                                                                                                             """
711,Hsa.17956,T90036,3' UTR,2a,117612,"""CLASS I HISTOCOMPATIBILITY ANTIGEN, E-1 ALPHA CHAIN PRECURSOR (Pongo pygmaeus)                                                                                                                                                             """
712,Hsa.15844,T80178,3' UTR,2a,115041,SERUM ALBUMIN PRECURSOR (Homo sapiens)
713,Hsa.3136,U25265,gene,1,N/A,"""Human MEK5 mRNA, complete cds.                                                                                                                                                                                                                       """
714,Hsa.44686,H81864,3' UTR,2a,249332,CELL DIVISION CONTROL PROTEIN 2 HOMOLOG (Plasmodium falciparum)
715,Hsa.733,M14200,gene,1,N/A,"""Human diazepam binding inhibitor (DBI) mRNA, complete cds.                                                                                                                                                                                            """
716,Hsa.2843,Z15009,gene,1,N/A,H.sapiens mRNA for laminin.
717,Hsa.2149,X62899,gene,1,N/A,H.sapiens mRNA for islet cell antigen ICA-512 (putative tyrosine phosphatase).
718,Hsa.16100,T81492,3' UTR,2a,115880,NEGATIVE REGULATOR OF MITOSIS (Emericella nidulans)
719,Hsa.321,X65024,gene,1,N/A,H.sapiens mRNA for xeroderma pigmentosum group C complementing factor (XP-C).
720,Hsa.13834,T65380,3' UTR,2a,21425,RIBOSE-PHOSPHATE PYROPHOSPHOKINASE III (Homo sapiens)
721,Hsa.34384,H11272,3' UTR,2a,47327,COMPLEMENT C9 (Oncorhynchus mykiss)
722,Hsa.557,H65019,3' UTR,1,238799,60 KD RO PROTEIN (HUMAN);.
723,Hsa.612,M34175,gene,1,N/A,"""Human beta adaptin mRNA, complete cds.                                                                                                                                                                                                                """
724,Hsa.1761,L23823,gene,1,N/A,"""Homo sapiens integrin beta 7 subunit gene, exon 15.                                                                                                                                                                                                  """
725,Hsa.1284,M22490,gene,1,N/A,Human bone morphogenetic protein-2B (BMP-2B) mRNA.
726,Hsa.44876,H83703,3' UTR,2a,249247,NUCLEOSIDE DIPHOSPHATE KINASE A (Homo sapiens)
727,Hsa.2363,X07862,gene,1,N/A,Human mRNA for protamine 2.
728,Hsa.2567,R72874,3' UTR,1,157835,ANION EXCHANGE PROTEIN 2 (HUMAN);.
729,Hsa.37038,H45781,3' UTR,2a,188277,
730,Hsa.154,T47584,3' UTR,1,71261,60S RIBOSOMAL PROTEIN L22 (HUMAN).
731,Hsa.31933,R67343,3' UTR,2a,140965,IMMEDIATE-EARLY REGULATORY PROTEIN IE-N (Autographa californica nuclear polyhedrosis virus)
732,Hsa.61,D00763,gene,1,N/A,PROTEASOME COMPONENT C9 (HUMAN);.
733,Hsa.2856,X66839,gene,1,N/A,H.sapiens MaTu MN mRNA for p54/58N protein.
734,Hsa.1521,M24283,gene,1,N/A,INTERCELLULAR ADHESION MOLECULE-1 PRECURSOR (HUMAN);contains Alu repetitive element;contains element PTR5 repetitive element ;.
735,Hsa.5120,T78096,3' UTR,2a,114481,"""DYNACTIN, 150 KD ISOFORM (Rattus norvegicus)                                                                                                                                                                                                """
736,Hsa.1806,M69135,gene,1,N/A,"""Human monoamine oxidase B (MAOB) gene, exon 15.                                                                                                                                                                                                      """
737,Hsa.893,L01664,gene,1,N/A,"""Human eosinophil Charcot-Leyden crystal (CLC) protein (lysophospholipase) mRNA, complete cds.                                                                                                                                                         """
738,Hsa.3305,X12369,gene,1,N/A,"""TROPOMYOSIN ALPHA CHAIN, SMOOTH MUSCLE (HUMAN);.                                                                                                                                                                                                     """
739,Hsa.3256,Z35093,gene,1,N/A,H.sapiens mRNA for SURF-1.
740,Hsa.15167,T77446,3' UTR,2a,113847,PUTATIVE SERINE/THREONINE-PROTEIN KINASE B0464.5 IN CHROMOSOME III (Caenorhabditis elegans)
741,Hsa.10171,R70008,3' UTR,2a,142450,VASCULAR ENDOTHELIAL GROWTH FACTOR PRECURSOR (Rattus norvegicus)
742,Hsa.11340,T59354,3' UTR,2a,75292,EBNA-2 NUCLEAR PROTEIN (Epstein-barr virus)
743,Hsa.1480,X53004,gene,1,N/A,H.sapiens PCR amplified genomic DNA for GPE (exon 1).
744,Hsa.2372,D16469,gene,1,N/A,"""Human mRNA for ORF, Xq terminal portion.                                                                                                                                                                                                             """
745,Hsa.216,U03100,gene,1,N/A,"""Human alpha2(E)-catenin mRNA, complete cds.                                                                                                                                                                                                           """
746,Hsa.2543,X57347,gene,1,N/A,H.sapiens mRNA for HS1 protein.
747,Hsa.3164,X84700,gene,1,N/A,H.sapiens mRNA for leucocyte antigen CD97.
748,Hsa.21369,R09479,3' UTR,2a,127656,"""DNA-DIRECTED RNA POLYMERASES I, II, AND III 8.3 KD POLYPEPTIDE (Saccharomyces cerevisiae)                                                                                                                                                  """
749,Hsa.1489,M73481,gene,1,N/A,"""Human gastrin releasing peptide receptor (GRPR) mRNA, complete cds.                                                                                                                                                                                  """
750,Hsa.741,M62831,gene,1,N/A,"""Human transcription factor ETR101 mRNA, complete cds.                                                                                                                                                                                                 """
751,Hsa.1502,M32800,gene,1,N/A,"""Human MHC class I truncated HLA G mRNA, complete cds.                                                                                                                                                                                                """
752,Hsa.14360,R39681,3' UTR,2a,24083,EUKARYOTIC INITIATION FACTOR 4 GAMMA (Homo sapiens)
753,Hsa.2317,Y00281,gene,1,N/A,RIBOPHORIN I PRECURSOR (HUMAN);contains element TAR1 repetitive element ;.
754,Hsa.2634,X55005,gene,1,N/A,Human c-erbA-1 mRNA for thyroid hormone receptor alpha.
755,Hsa.4251,T65438,3' UTR,2a,21650,PRE-MRNA SPLICING FACTOR SRP20 (Homo sapiens)
756,Hsa.641,T79595,3' UTR,1,113670,"""Human calmodulin (CALM1) gene, exons 2,3,4,5 and 6, and complete cds.                                                                                                                                                                         """
757,Hsa.3239,T78104,3' UTR,1,114499,"""Human proline- arginine-rich end leucine-rich repeat protein PRELP mRNA, complete cds.                                                                                                                                                       """
758,Hsa.41322,X90858,gene,1,N/A,H.sapiens mRNA for uridine phosphorylase.
759,Hsa.1537,M36341,gene,1,N/A,"""Human ADP-ribosylation factor 4 (ARF4) mRNA, complete cds.                                                                                                                                                                                           """
760,Hsa.25745,R27017,3' UTR,2a,132727,"""DOPAMINE- AND CAMP-REGULATED NEURONAL PHOSPHOPROTEIN, DARPP-32 (Bos taurus)                                                                                                                                                                """
761,Hsa.3940,R23176,3' UTR,2a,131348,AMYLOID-LIKE PROTEIN 2 PRECURSOR (Homo sapiens)
762,Hsa.1567,T54276,3' UTR,1,69195,PROTEASOME COMPONENT C13 (HUMAN).
763,Hsa.3067,X05276,gene,1,N/A,Human mRNA for fibroblast tropomyosin TM30 (pl).
764,Hsa.692,M76378,gene,1,N/A,"""Human cysteine-rich protein (CRP) gene, exons 5 and 6.                                                                                                                                                                                                """
765,Hsa.9235,T47342,3' UTR,2a,70818,"""PHOSPHOGLYCERATE MUTASE, BRAIN FORM (Homo sapiens)                                                                                                                                                                                           """
766,Hsa.465,U07695,gene,1,N/A,"""Human tyrosine kinase (HTK) mRNA, complete cds.                                                                                                                                                                                                       """
767,Hsa.2884,X66141,gene,1,N/A,H.sapiens mRNA for cardiac ventricular myosin light chain-2.
768,Hsa.2135,U21128,gene,1,N/A,"""Human lumican mRNA, complete cds.                                                                                                                                                                                                                    """
769,Hsa.1799,L20688,gene,1,N/A,"""Human GDP-dissociation inhibitor protein (Ly-GDI) mRNA, complete cds.                                                                                                                                                                                """
770,Hsa.17353,L00352,gene,1,N/A,"""Human low density lipoprotein receptor gene, exon 18.                                                                                                                                                                                               """
771,Hsa.2008,M81758,gene,1,N/A,"""Homo sapiens skeletal muscle voltage-dependent sodium channel alpha subunit (SkM1) mRNA, complete cds.                                                                                                                                               """
772,Hsa.22775,R40184,3' UTR,2a,27571,BETA-ADAPTIN (Homo sapiens)
773,Hsa.3298,X13451,gene,1,N/A,Human mRNA for lymphocyte lineage-restricted mb-1 membrane glycoprotein C-term. (m-mb-1 homolog.).
774,Hsa.964,R39130,3' UTR,1,26585,S27965 HYPOTHETICAL PROTEIN - ;.
775,Hsa.6048,H87465,3' UTR,2a,252514,PRE-MRNA SPLICING FACTOR SRP75 (Homo sapiens)
776,Hsa.3274,L41268,gene,1,N/A,"""Homo sapiens natural killer-associated transcript 2 (NKAT2) mRNA, complete cds.                                                                                                                                                                      """
777,Hsa.2985,X69550,gene,1,N/A,H.sapiens mRNA for rho GDP-dissociation Inhibitor 1.
778,Hsa.1726,H24030,3' UTR,1,51695,S40237 CHAPERONIN - ;.
779,Hsa.773,H40095,3' UTR,1,175181,MACROPHAGE MIGRATION INHIBITORY FACTOR (HUMAN);.
780,Hsa.550,L20422,gene,1,N/A,"""Human 14-3-3n protein mRNA, complete cds.                                                                                                                                                                                                             """
781,Hsa.2390,X02750,gene,1,N/A,Human liver mRNA for protein C.
782,Hsa.7852,R01755,3' UTR,2a,124172,TRANSTHYRETIN PRECURSOR (Homo sapiens)
783,Hsa.3926,T61599,3' UTR,2a,78074,PROTEIN TRANSLATION FACTOR SUI1 HOMOLOG (Arabidopsis thaliana)
784,Hsa.2513,D13627,gene,1,N/A,"""Human mRNA for ORF, complete cds.                                                                                                                                                                                                                    """
785,Hsa.43242,H70250,3' UTR,2a,213839,BRAIN CALCIUM CHANNEL BII-2 PROTEIN (Oryctolagus cuniculus)
786,Hsa.1854,M83667,gene,1,N/A,"""Human NF-IL6-beta protein mRNA, complete cds.                                                                                                                                                                                                        """
787,Hsa.3353,X02492,gene,1,N/A,INTERFERON-INDUCED PROTEIN 6-16 PRECURSOR (HUMAN);contains L1 repetitive element ;.
788,Hsa.1220,X14618,gene,1,N/A,Human mRNA for acid phosphatase type 5 (EC 3.1.3.2).
789,Hsa.1259,H26419,3' UTR,1,162182,APOLIPOPROTEIN D PRECURSOR (HUMAN);.
790,Hsa.1516,J04621,gene,1,N/A,SYNDECAN-2 PRECURSOR (HUMAN);contains Alu repetitive element;.
791,Hsa.1272,R88740,3' UTR,1,194984,"""ATP SYNTHASE COUPLING FACTOR 6, MITOCHONDRIAL PRECURSOR (HUMAN);.                                                                                                                                                                            """
792,Hsa.2999,X74874,gene,1,N/A,"""H.sapiens gene for RNA pol II largest subunit, exon 1.                                                                                                                                                                                               """
793,Hsa.18401,R23889,3' UTR,2a,131036,TRANSFERRIN RECEPTOR PROTEIN (Homo sapiens)
794,Hsa.1433,L03840,gene,1,N/A,"""Human fibroblast growth factor receptor 4 (FGFR4) mRNA, complete cds.                                                                                                                                                                                """
795,Hsa.348,R73129,3' UTR,1,156099,LACTOTRANSFERRIN PRECURSOR (HUMAN);.
796,Hsa.3040,X51416,gene,1,N/A,Human mRNA for steroid hormone receptor hERR1.
797,Hsa.695,M26481,gene,1,N/A,"""Homo sapiens KS1/4 antigen mRNA, complete cds.                                                                                                                                                                                                        """
798,Hsa.680,J03210,gene,1,N/A,"""Human collagenase type IV mRNA, 3' end.                                                                                                                                                                                                               """
799,Hsa.28162,R54422,3' UTR,2a,39283,"""ALKALINE PHOSPHATASE, PLACENTAL TYPE 1 PRECURSOR (Homo sapiens)                                                                                                                                                                             """
800,Hsa.9285,T47562,3' UTR,2a,71242,ER LUMEN PROTEIN RETAINING RECEPTOR 1 (Homo sapiens)
801,Hsa.2863,X70326,gene,1,N/A,H.sapiens MacMarcks mRNA.
802,Hsa.20164,R00285,3' UTR,2a,123267,PROTEIN KINASE CEK1 (Schizosaccharomyces pombe)
803,Hsa.6596,R76254,3' UTR,2a,144774,ELONGATION FACTOR 1-GAMMA (Homo sapiens)
804,Hsa.1138,M16029,gene,1,N/A,"""Human ret mRNA encoding a tyrosine kinase, partial cds.                                                                                                                                                                                              """
805,Hsa.3349,X15882,gene,1,N/A,Human mRNA for collagen VI alpha-2 C-terminal globular domain.
806,Hsa.316,M94132,gene,1,N/A,Human mucin 2 (MUC2) mRNA sequence.
807,Hsa.3145,T49637,3' UTR,1,67743,"""Human mRNA (KIAA0064) for ORF (novel protein), complete cds.                                                                                                                                                                                  """
808,Hsa.2576,U34252,gene,1,N/A,"""Human r-aminobutyraldehyde dehydrogenase mRNA, complete cds.                                                                                                                                                                                         """
809,Hsa.2841,X79683,gene,1,N/A,H.sapiens LAMB2 mRNA for beta2 laminin.
